-OR-,-OU-
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Imagem no alto à esquerda da página de pagamento. Tamanho máximo 750x90-pixels. <strong style=""color:red"">https</strong> altamente recomendável."
The maximum number of child authorizations is reached.,Número máximo de autorizações subsequentes foi atingido.
The merchant account is not yet verified.,A conta empresa ainda não foi verificada.
The payment curency does not match any of the merchant\'s balances currency.,A moeda de pagamento não confere com nenhuma moeda permitida.
The payment eCheck is not yet cleared.,O pagamento eCheck ainda não foi apurado.
The payment is authorized but not settled.,O pagamento está autorizado mas não resolvido.
The payment is pending because it was made to an email address that is not yet registered or confirmed.,O pagamento está pendente porque foi feito por um Email não registrado ou confirmado ainda.
The payment is pending while it is being reviewed by PayPal for risk.,O pagamento está pendente até que o Paypal avalie os riscos.
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,"O pagamento foi feito por cartão de crédito. Para receber os valores, o vendedor precisa atualizar sua conta para Business ou Premier."
There is already another PayPal solution enabled. Enable this solution instead?,Já existe outra solução PayPal habilitada. Habilitar esta opção assim mesmo?
There was an error processing your order. Please contact us or try again later.,Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente.
This feature needs be enabled first for the merchant account through PayPal technical support.,Este recurso precisa ser habilitado primeiro p/ conta do vendedor através do suporte técnico do PayPal.
This operation requires an existing transaction object.,Esta operação exige um objeto de transação existente.
Time of Day,Hora do Dia
Title,Título
Transaction ID,ID da Transação
Transaction ID must not be empty.,ID da Transação não pode ser vazio.
Transaction Information,Informações de Transação
Transaction reversal by PayPal administrators.,Reversão de transação feita pelos administradores do PayPal.
Transaction reversal due to fraud detected by PayPal administrators.,Reversão de transação feita pela equipe do PayPal por suspeitas de fraude.
Transfer Cart Line Items,Transferir Itens do carrinho
Transfer Shipping Options,Opções de Envio de Transferência
Triggered Fraud Filters,Iniciado Filtros de Fraude
URL method for Cancel URL and Return URL,URL p/ URL de Cancelamento e URL de Retorno
Unable to cancel Express Checkout.,Não foi possível cancelar o Express Checkout.
Unable to change status. Current status is not correspond to real status.,Não foi possível alterar status. Status não corresponde ao status real.
Unable to communicate with the PayPal gateway.,Não foi possível se comunicar com o gateway do PayPal.
Unable to initialize Express Checkout review.,Não foi possível reiniciar o processo Express Checkout.
Unable to initialize Express Checkout.,Não foi possível iniciar Express Checkout.
Unable to place the order.,Não foi possível processar o pedido.
Unable to process Express Checkout approval.,Não foi possível processar a autorização Express Checkout.
Unable to start Express Checkout.,Não foi possível utilizar Express Checkout.
Unable to update Order data.,Não foi possível atualizar dados do Pedido.
Unable to update shipping method.,Não foi possível atualizar a forma de entrega.
Unknown Error. Please try again later.,Erro Desconhecido. Tente novamente mais tarde.
Unknown reason. Please contact PayPal customer service.,Razão desconhecida. Entre em contato com suporte do PayPal.
Update Order Data,Atualizar Dados do Pedido
Use Proxy,Usar Proxy
"Use colon to specify port. For example: ""test.example.com:5224"".","Use dois pontos para especificar a porta. Por exemplo: ""teste.exemplo.com:5224""."
User,Usuário
User-initiated Currency Conversion,Conversão de Moeda Iniciada pelo Usuário
Uses store frontend name by default.,Usar o nome da loja no frontend por padrão.
VAT Number,Número CPF
Vendor,Vendedor
View,Visualizar
View Demo,Visualizar Demonstração
View Transaction,Visualizar Transações
View Transaction Details,Visualizar Detalhes da Transação
Virtual PayPal Debit Card Transaction,Transação Virtual PayPal p/ Cartão de Débito
Virtual Terminal Payment,Terminal Virtual de Pagamento
Void,Anulado
We prefer PayPal (150 X 40),Nós preferimos PayPal (150 X 40)
We prefer PayPal (150 X 60),Nós preferimos PayPal (150 X 60)
Website Payments Plus,Website Pagamentos Plus
Website Payments Pro (Includes Express Checkout),Website Pagamentos Pro (Incluindo Express Checkout)
Website Payments Pro Hosted Solution,Website Payments Pro Hosted Solution
Website Payments Pro Hosted Solution (Includes Express Checkout),Website Pagamentos Pro Solução Hosted (Incluindo Express Checkout)
Website Payments Pro Hosted Solution and Express Checkout,Website Pagamentos Pro Solução Hosted e Express Checkout
Website Payments Pro Payflow Edition (Includes Express Checkout),Website Pagamentos Edição Pro Payflow (Incluindo Express Checkout)
Website Payments Pro Payflow Edition and Express Checkout,Website Pagamentos Edição Pro Payflow e Express Checkout
Website Payments Pro and Express Checkout,Website Pagamentos Pro e Express Checkout
Website Payments Standard,Website Pagamentos Padrão
Website Payments Standard Payment,Website Pagamentos Padrão de Pagamentos
What is PayPal?,O que é PayPal?
"Whether to create a billing agreement, if there are no active billing agreements available.","Necessário criar um termo de cobrança, se não houver nenhum termo de cobrança ativo disponível."
Will appear as a payment option only for customers who have at least one active billing agreement.,Irá aparecer como opção de pagamento apenas para clientes que possuem ao menos um termo de cobrança ativo.
WorldLink Withdrawal,Saque WorldLink
Would you like to sign a billing agreement to streamline further purchases with PayPal?,Você gostaria de assinar um termo de cobrança para agilizar o processo de compras usando PayPal?
Wrong PayPal Express Checkout Token specified.,Token informado p/ PayPal Express Checkout inválido.
Yes,Sim
Yes. Matched Address and five-didgit ZIP,Sim. Endereço Confirmado e 5 dígitos do CEP
You cannot void a verification transaction,Você não pode cancelar uma transação de verificação
You will be redirected to the PayPal website in a few seconds.,Você será redirecionado p/ o PayPal em alguns segundos.
You will be redirected to the PayPal website when you place an order.,Você será redirecionado p/ o PayPal quando finalizar seu pedido.
You will be redirected to the PayPal website.,Você será redirecionado p/ o site do PayPal.
You will be required to enter your payment details after you place an order.,Informações de pagamento serão solicitados assim que você finalizar seu pedido.
Zip/Postal Code,CEP
eBay Auction Payment,Pagamento de Leilão eBay
